"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"8";"";"JMP-3-NO-0603";"JMP-3-NO-0603";"R_S100, R_S102, R_S104, R_S107, R_S109, R_S111, R_S113, R_S114";"Three Terminal Jumper - Normally Open";"";
"8";"";"TAC_SWITCHPTH";"TACTILE-PTH";"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8";"Momentary Switch";"";
"8";"100";"JMP-3-NO-0603";"JMP-3-NO-0603";"R_S101, R_S103, R_S105, R_S106, R_S108, R_S110, R_S112, R_S115";"Three Terminal Jumper - Normally Open";"";
"8";"100k";"RESISTOR0603-RES";"0603-RES";"R108, R109, R110, R111, R112, R113, R114, R115";"Resistor";"";
"8";"100nf";"CAP0603-CAP";"0603-CAP";"C100, C101, C102, C103, C104, C105, C106, C107";"Capacitor";"";
"8";"10k";"RESISTOR0603-RES";"0603-RES";"R100, R101, R102, R103, R104, R105, R106, R107";"Resistor";"";
"8";"330";"RESISTOR0603-RES";"0603-RES";"R116, R117, R118, R119, R120, R121, R122, R123";"Resistor";"";
"8";"DNP";"RESISTOR0603-RES";"0603-RES";"R1, R2, R3, R4, R5, R6, R7, R8";"Resistor";"";
"2";"F10";"M10SILK_FEMALE_PTH";"1X10_OCTO";"J100, J101";"Header 10";"";
"8";"JACK-3_5MM-MONO-SW-WQP_PJ302-12";"JACK-3_5MM-MONO-SW-WQP_PJ302-12";"WQP_PJ301M-12";"P1J, P2J, P3J, P4J, P5J, P6J, P7J, P8J";"Jack, 3.5mm, RIght Angle, Though-Hole";"";
"8";"LED";"LED";"LED3MM";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8";"";"";
"8";"MMBT3904";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"Q100, Q101, Q102, Q103, Q104, Q105, Q106, Q107";"NPN Transistror";"";
